source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id,applies_to,applies_to_objects,scope_count,scope_mode,merged_rule_ids,merged_rule_count,dedup_status,review_reasons,review_required,merged_rule_id,approval_type,rule_object_original
page_0002__table_001,min_separation_front_principals_ssmu_5_6,building_separation,minimum,Between Front Principals,>=,2.4,m,Small-Scale Multi-Unit; 5 to 6 Units Frequent Transit Network Area Only,,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front Principals | Small-Scale Multi-Unit | 5 to 6 Units Frequent Transit Network Area Only | 2.4 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0059,"[{'rule_id': 'pipeline10_rule_0059', 'rule_object': 'building_separation', 'condition': 'Small-Scale Multi-Unit; 5 to 6 Units Frequent Transit Network Area Only'}]",['building_separation'],1,single_scope,['pipeline10_rule_0059'],1,kept,[],False,pipeline5_merged_rule_0059,,
page_0002__table_001,min_separation_rear_principals_ssmu_1_2,building_separation,minimum,Between Rear Principals,>=,2.4,m,Small-Scale Multi-Unit; 1 to 2 Units,,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Rear Principals | Small-Scale Multi-Unit | 1 to 2 Units | 2.4 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0060,"[{'rule_id': 'pipeline10_rule_0060', 'rule_object': 'building_separation', 'condition': 'Small-Scale Multi-Unit; 1 to 2 Units'}]",['building_separation'],1,single_scope,['pipeline10_rule_0060'],1,kept,[],False,pipeline5_merged_rule_0060,,
page_0002__table_001,min_separation_rear_principals_ssmu_3_4,building_separation,minimum,Between Rear Principals,>=,2.4,m,Small-Scale Multi-Unit; 3 to 4 Units,,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Rear Principals | Small-Scale Multi-Unit | 3 to 4 Units | 2.4 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0061,"[{'rule_id': 'pipeline10_rule_0061', 'rule_object': 'building_separation', 'condition': 'Small-Scale Multi-Unit; 3 to 4 Units'}]",['building_separation'],1,single_scope,['pipeline10_rule_0061'],1,kept,[],False,pipeline5_merged_rule_0061,,
page_0002__table_001,min_separation_rear_principals_ssmu_5_6,building_separation,minimum,Between Rear Principals,>=,2.4,m,Small-Scale Multi-Unit; 5 to 6 Units Frequent Transit Network Area Only,,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Rear Principals | Small-Scale Multi-Unit | 5 to 6 Units Frequent Transit Network Area Only | 2.4 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0062,"[{'rule_id': 'pipeline10_rule_0062', 'rule_object': 'building_separation', 'condition': 'Small-Scale Multi-Unit; 5 to 6 Units Frequent Transit Network Area Only'}]",['building_separation'],1,single_scope,['pipeline10_rule_0062'],1,kept,[],False,pipeline5_merged_rule_0062,,
page_0002__table_001,min_separation_front_rear_principals,building_separation,minimum,Between Front & Rear Principals,>=,6.0,m,,,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front & Rear Principals | 6.0 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0063,"[{'rule_id': 'pipeline10_rule_0063', 'rule_object': 'building_separation', 'condition': ''}]",['building_separation'],1,single_scope,['pipeline10_rule_0063'],1,kept,[],False,pipeline5_merged_rule_0063,,
page_0002__table_001,min_separation_all_other_buildings,building_separation,minimum,Between All Other Buildings,>=,2.4,m,,,Minimum Separation of Buildings on the Same Lot .4 .5 | Between All Other Buildings | 2.4 m,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0064,"[{'rule_id': 'pipeline10_rule_0064', 'rule_object': 'building_separation', 'condition': ''}]",['building_separation'],1,single_scope,['pipeline10_rule_0064'],1,kept,[],False,pipeline5_merged_rule_0064,,
page_0004__table_001,min_3_plus_bedroom_units_1_to_3_total,dwelling_units,minimum,3+ bedroom units,>=,1,units,Total Dwelling Units on a Lot: 1 to 3 Units,,"101.5.1 All Dwelling Units
(1) The minimum number of dwelling units with at least 3 bedrooms must be provided as follows:
Total Dwelling Units on a Lot
1 to 3 Units
Minimum 3+ Bedroom Units: 1 Unit",[],gemini_table_image,page_0004__table_001,pipeline10_rule_0065,"[{'rule_id': 'pipeline10_rule_0065', 'rule_object': 'dwelling_units', 'condition': 'Total Dwelling Units on a Lot: 1 to 3 Units'}]",['dwelling_units'],1,single_scope,['pipeline10_rule_0065'],1,kept,[],False,pipeline5_merged_rule_0065,,
page_0004__table_001,min_3_plus_bedroom_units_4_to_6_total,dwelling_units,minimum,3+ bedroom units,>=,2,units,Total Dwelling Units on a Lot: 4 to 6 Units,,"101.5.1 All Dwelling Units
(1) The minimum number of dwelling units with at least 3 bedrooms must be provided as follows:
Total Dwelling Units on a Lot
4 to 6 Units
Minimum 3+ Bedroom Units: 2 Units",[],gemini_table_image,page_0004__table_001,pipeline10_rule_0066,"[{'rule_id': 'pipeline10_rule_0066', 'rule_object': 'dwelling_units', 'condition': 'Total Dwelling Units on a Lot: 4 to 6 Units'}]",['dwelling_units'],1,single_scope,['pipeline10_rule_0066'],1,kept,[],False,pipeline5_merged_rule_0066,,
burnaby_generic_graph_pack_011__page_0005__local_004,outdoor_amenity_space_width_dwelling_unit,outdoor_amenity_space_width,dimensional,outdoor_amenity_space,>=,2.0,m,for each primary dwelling unit for its exclusive use and be accessible from the primary dwelling unit it serves,,An outdoor amenity space with a minimum width of 2.0 m,[],gemini_text_batch,text_batch_0004,pipeline10_rule_0138,"[{'rule_id': 'pipeline10_rule_0138', 'rule_object': 'outdoor_amenity_space_width', 'condition': 'for each primary dwelling unit for its exclusive use and be accessible from the primary dwelling unit it serves'}]",['outdoor_amenity_space_width'],1,single_scope,['pipeline10_rule_0138'],1,kept,[],False,pipeline5_merged_rule_0138,,
burnaby_generic_graph_pack_011__page_0005__local_004,outdoor_amenity_space_area_dwelling_unit,outdoor_amenity_space_area,dimensional,outdoor_amenity_space,>=,10.0,m2,for each primary dwelling unit for its exclusive use and be accessible from the primary dwelling unit it serves,,area of 10.0 m2 must be provided for each primary dwelling unit for its exclusive use and be accessible from the primary dwelling unit it serves,[],gemini_text_batch,text_batch_0004,pipeline10_rule_0139,"[{'rule_id': 'pipeline10_rule_0139', 'rule_object': 'outdoor_amenity_space_area', 'condition': 'for each primary dwelling unit for its exclusive use and be accessible from the primary dwelling unit it serves'}]",['outdoor_amenity_space_area'],1,single_scope,['pipeline10_rule_0139'],1,kept,[],False,pipeline5_merged_rule_0139,,
